車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
DE3FS,FF,3885,1695,1475,2490,155,970,5,デミオ,13C (5MT),4G,R,直4,DOHC,1348,67,124,41,MT,175/65R14,21.0,4.7,"1,200,000",コンパクト,demio_ov.jpg,demio_drv.jpg
DE3FS,FF,3885,1695,1475,2490,155,990,5,デミオ,13C-V (CVT),4G,R,直4,DOHC,1348,67,120,41,CVT,175/65R14,23.0,4.7,"1,310,000",コンパクト,demio_ov.jpg,demio_drv.jpg
DE3FS,FF,3885,1695,1475,2490,155,990,5,デミオ,13S (4AT),4G,R,直4,DOHC,1348,67,124,41,EAT,185/55R15,21.0,4.9,"1,360,000",コンパクト,demio_ov.jpg,demio_drv.jpg
DE5FS,FF,3885,1695,1475,2490,155,1000,5,デミオ,15C (CVT),4G,R,直4,DOHC,1498,83,140,41,CVT,175/65R14,20.0,4.7,"1,360,000",コンパクト,demio_ov.jpg,demio_drv.jpg
DE5FS,FF,3885,1695,1475,2490,155,1000,5,デミオ,SPORT (5MT),4G,R,直4,DOHC,1498,83,140,41,MT,195/45R16,19.4,4.9,"1,580,000",コンパクト,demio_ov.jpg,demio_drv.jpg
DE3AS,4WD,3885,1695,1475,2490,155,1070,5,デミオ,13C 4WD (4AT),4G,R,直4,DOHC,1348,67,124,41,EAT,175/65R14,17.8,4.7,"1,394,250",コンパクト,demio_ov.jpg,demio_drv.jpg
DE3AS,4WD,3885,1695,1475,2490,155,1070,5,デミオ,13S 4WD (4AT),4G,R,直4,DOHC,1348,67,124,41,EAT,185/55R15,17.8,4.9,"1,554,250",コンパクト,demio_ov.jpg,demio_drv.jpg
DC5W,FF,3975,1695,1530,2490,155,1100,5,ベリーサ,C (4AT),4G,R,直4,DOHC,1498,83,140,45,EAT,185/55R15,18.4,4.9,"1,560,000",コンパクト,verisa_ov.jpg,verisa_drv.jpg
DC5R,4WD,3975,1695,1530,2490,155,1170,5,ベリーサ,C 4WD (4AT),4G,R,直4,DOHC,1498,83,140,45,EAT,185/55R15,17.2,4.9,"1,749,000",コンパクト,verisa_ov.jpg,verisa_drv.jpg
DC5R,4WD,3975,1695,1530,2490,155,1170,5,ベリーサ,L 4WD (4AT),4G,R,直4,DOHC,1498,83,140,45,EAT,185/55R15,17.2,4.9,"1,849,000",コンパクト,verisa_ov.jpg,verisa_drv.jpg
BK5P,FF,4400,1754,1465,2640,145,1210,5,アクセラスポーツ,15F (5MT),4G,R,直4,DOHC,1498,84,140,55,MT,195/65R15,18.0,5.2,"1,510,750",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
BK5P,FF,4400,1754,1465,2640,145,1240,5,アクセラスポーツ,15C (4AT),4G,R,直4,DOHC,1498,84,140,55,EAT,195/65R15,17.4,5.2,"1,650,000",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
BKEP,FF,4400,1754,1465,2640,145,1260,5,アクセラスポーツ,20C (5AT),4G,R,直4,DOHC,1998,110,183,55,EAT,195/65R15,14.2,5.2,"1,890,000",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
BKEP,FF,4435,1754,1465,2640,145,1280,5,アクセラスポーツ,20S (5AT),4G,R,直4,DOHC,1998,110,183,55,EAT,205/55R16,13.6,5.2,"2,060,000",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
BKEP,4WD,4400,1754,1510,2640,140,1400,5,アクセラスポーツ,20F 4WD  (4AT),4G,R,直4,DOHC,1998,105,179,55,EAT,195/70R15,11.6,5.2,"1,980,000",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
BK3P,FF,4435,1754,1465,2640,145,1300,5,アクセラスポーツ,23S (5AT),4G,P,直4,DOHC,2260,126,214,55,EAT,205/50R17,12.2,5.2,"2,150,000",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
BK3P,FF,4435,1765,1465,2640,145,1390,5,アクセラスポーツ,マツダスピード (6MT),4G,P,直4,DOHC,2260,194,380,55,MT,215/45R18,11.2,5.5,"2,410,000",ワゴン＆２ボックス,axela_sp_ov.jpg,axela_sp_drv.jpg
GG3S,FF,4670,1780,1445,2675,135,1430,5,アテンザポーツ,23S (5AT),4G,P,直4,DOHC,2260,131,215,64,EAT,215/45R17,12.6,5.4,"2,436,000",ワゴン＆２ボックス,atenza_sp_ov.jpg,atenza_sp_drv.jpg
GG3S,FF,4670,1780,1445,2675,135,1390,5,アテンザポーツ,23Z (6MT),4G,P,直4,DOHC,2260,131,215,64,MT,215/45R17,13.0,5.6,"2,583,000",ワゴン＆２ボックス,atenza_sp_ov.jpg,atenza_sp_drv.jpg
GYEW,FF,4690,1780,1440,2675,135,1410,5,アテンザポーツ,ワゴン 20C (5AT),4G,R,直4,DOHC,1998,103,182,64,EAT,195/65R15,14.2,5.4,"2,247,000",ワゴン＆２ボックス,atenza_sp_ov.jpg,atenza_sp_drv.jpg
GY3W,FF,4690,1780,1440,2675,135,1450,5,アテンザポーツ,ワゴン 23EX (5AT),4G,P,直4,DOHC,2260,131,215,64,EAT,215/45R17,12.6,5.4,"2,646,000",ワゴン＆２ボックス,atenza_sp_ov.jpg,atenza_sp_drv.jpg
GY3W,FF,4690,1780,1440,2675,135,1410,5,アテンザポーツ,ワゴン 23Z (6MT),4G,P,直4,DOHC,2260,131,215,64,MT,215/45R18,13.0,5.6,"2,583,000",ワゴン＆２ボックス,atenza_sp_ov.jpg,atenza_sp_drv.jpg
GY3W,4WD,4690,1780,1445,2675,145,1530,5,アテンザポーツ,ワゴン 23S 4WD (5AT),4G,P,直4,DOHC,2260,129,213,62,EAT,215/45R17,10.0,5.4,"2,646,000",ワゴン＆２ボックス,atenza_sp_ov.jpg,atenza_sp_drv.jpg
CREW,FF,4565,1745,1615,2750,140,1470,7,プレマシー,20F  (5AT),4G,R,直4,DOHC,1998,107,181,60,EAT,195/65R15,14.4,5.3,"1,768,000",ミニバン,premacy_ov.jpg,premacy_drv.jpg
CREW,FF,4565,1745,1615,2750,140,1490,7,プレマシー,20F DISI  (5AT),4G,R,直4,DOHC,1998,111,193,60,EAT,195/65R15,15.0,5.3,"2,100,000",ミニバン,premacy_ov.jpg,premacy_drv.jpg
CREW,FF,4565,1745,1615,2750,140,1490,7,プレマシー,20Z  (5AT),4G,R,直4,DOHC,1998,111,193,60,EAT,205/50R17,15.0,5.3,"2,195,000",ミニバン,premacy_ov.jpg,premacy_drv.jpg
CR3W,FF,4565,1745,1615,2750,140,1500,7,プレマシー,23F  (5AT),4G,P,直4,DOHC,2260,121,210,60,EAT,205/50R17,12.0,5.3,"2,355,000",ミニバン,premacy_ov.jpg,premacy_drv.jpg
CREW,4WD,4565,1745,1650,2750,135,1580,7,プレマシー,20F 4WD (5AT),4G,R,直4,DOHC,1998,102,175,55,EAT,195/65R15,11.0,5.3,"2,031,000",ミニバン,premacy_ov.jpg,premacy_drv.jpg
CREW,4WD,4565,1745,1650,2750,135,1580,7,プレマシー,20S 4WD (5AT),4G,R,直4,DOHC,1998,102,175,55,EAT,195/65R15,11.0,5.3,"2,290,000",ミニバン,premacy_ov.jpg,premacy_drv.jpg
LY3P,FF,4860,1850,1685,2950,155,1720,8,MPV,23F (4AT),4G,R,直4,DOHC,2260,120,210,68,EAT,215/65R16,12.2,5.7,"2,380,000",ミニバン,mpv_ov.jpg,mpv_drv.jpg
LY3P,FF,4860,1850,1685,2950,155,1720,8,MPV,23C (4AT),4G,R,直4,DOHC,2260,120,210,68,EAT,215/65R16,12.2,5.7,"2,470,000",ミニバン,mpv_ov.jpg,mpv_drv.jpg
LY3P,FF,4870,1850,1685,2950,155,1730,8,MPV,23C スポーツパッケージ (4AT),4G,R,直4,DOHC,2260,120,210,68,EAT,215/60R17,12.2,5.7,"2,596,000",ミニバン,mpv_ov.jpg,mpv_drv.jpg
LY3P,4WD,4870,1850,1685,2950,155,1910,8,MPV,23T 4WD (6AT),4G,R,直4,DOHC,2260,180,350,76,EAT,215/55R18,9.4,5.7,"3,100,000",ミニバン,mpv_ov.jpg,mpv_drv.jpg
