車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
HE22S,FF,3395,1475,1510,2400,155,800,4,ラパン,G (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/55R14,24.5,4.4,"1,105,650",軽自動車,,
HE22S,FF,3395,1475,1510,2400,155,800,4,ラパン,X (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/55R14,24.5,4.4,"1,222,200",軽自動車,,
HE22S,FF,3395,1475,1510,2400,155,820,4,ラパン,T (CVT),4G,R,直3,DOHC,658,47,95,30,CVT,155/55R14,23.0,4.4,"1,357,650",軽自動車,,
HE22S,4WD,3395,1475,1510,2400,155,850,4,ラパン,G4 4WD  (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/55R14,22.5,4.4,"1,233,750",軽自動車,,
HG21S,FF,3395,1475,1535,2360,150,790,4,セルボ,G (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R13,21.0,4.1,"1,037,400",軽自動車,cervo_ov.jpg,cervo_drv.jpg
HG21S,4WD,3395,1475,1545,2360,150,860,4,セルボ,T 4WD (4AT),4G,R,直3,DOHC,658,44,83,30,AT,165/55R14,18.4,4.4,"1,270,500",軽自動車,cervo_ov.jpg,cervo_drv.jpg
HG21S,FF,3395,1475,1535,2360,150,810,4,セルボ,TX (4AT),4G,R,直3,DOHC,658,44,83,30,AT,165/55R14,19.8,4.4,"1,247,400",軽自動車,cervo_ov.jpg,cervo_drv.jpg
HG21S,FF,3395,1475,1535,2360,150,820,4,セルボ,SR (CVT),4G,R,直3,DOHC,658,47,103,30,CVT,165/55R14,23.0,4.4,"1,417,500",軽自動車,cervo_ov.jpg,cervo_drv.jpg
MH21S,FF,3395,1475,1645,2360,150,820,4,ワゴンR,FA (4AT),4G,R,直3,DOHC,658,40,63,30,EAT,155/65R13,21.0,4.1,"908,250",軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MH21S,4WD,3395,1475,1655,2360,150,860,4,ワゴンR,FX 4WD (5MT),4G,R,直3,DOHC,658,40,63,30,MT,155/65R13,21.0,4.1,"1,041,600",軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MH21S,4WD,3395,1475,1645,2360,145,910,4,ワゴンR,RR-DI 4WD (4AT),4G,R,直3,DOHC,658,47,103,30,EAT,165/55R14,18.8,4.4,"1,613,850",軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MH21S,FF,3395,1475,1645,2360,150,820,4,ワゴンR,FC (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R13,23.0,4.1,"1,113,000",軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MH22S,FF,3395,1475,1635,2360,145,870,4,ワゴンR,スティングレイ DI (CVT),4G,R,直3,DOHC,658,47,103,30,EAT,165/55R14,19.4,4.4,"1,491,000",軽自動車,wagonr_ov.jpg,wagonr_drv.jpg
MH23S,FF,3395,1475,1660,2400,155,800,4,ワゴンR,FX (5MT),4G,R,直3,DOHC,658,40,63,30,MT,145/80R13,23.5,4.2,"1,071,000",軽自動車,,
MH23S,FF,3395,1475,1660,2400,155,850,4,ワゴンR,FX リミテッド (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R14,23.0,4.4,"1,181,250",軽自動車,,
